participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
Leo,Leo_9_puntos_intento_2,584.1945650014234,3.030467895845985,69.516350542762,12.409075412881148,0.026175228205128243,0.02167950642673518,1.1041626334453145
Leo,Leo_9_puntos_intento_3,885.3005025862786,3.0230674648240923,71.93406226038859,22.587280386924576,0.02544758823529409,0.02217260204081636,1.0917830546940794
Leo,Leo_9_puntos_intento_4,680.6301284580295,3.236885439590801,75.4969014189116,15.90958874302795,0.031255960339943344,0.02163819886363635,1.0942754784355813
Leo,Leo_9_puntos_intento_5,858.7944195249803,3.2481686218798833,81.30904316840072,19.773418301645822,0.036871793846153765,0.02048718153846162,1.0783634733520322
Leo,Leo_9_puntos_intento_6,622.6587356460183,3.521441999898985,72.99438755432986,15.20440530569861,0.04518651624548738,0.02206235611510789,1.0922148757705037
Leo,Leo_9_puntos_intento_7,511.91678797859237,3.292650306411249,70.64911393609698,10.421874831171378,0.0384290777027027,0.02226912162162161,1.1027733520837064
Leo,Leo_9_puntos_intento_8,654.1853750979982,3.2133019469887825,75.3566767407585,15.52590926549106,0.03000000857142855,0.02326189714285717,1.1345993580027334
Leo,Leo_9_puntos_intento_9,566.4415058482649,4.259643853583789,108.61298450577677,10.519455117479755,0.022526020833333316,0.02604168750000001,1.1819403533415718
Rodelo,Rodelo_9_puntos_intento_10,537.2081205997625,2.703844869062294,63.971810754111964,10.930042521029982,0.03305005949008504,0.019726918079095993,1.1029191755193806
Rodelo,Rodelo_9_puntos_intento_1,429.9964216997443,2.936386510088168,61.56899225255727,8.251880529376074,0.05061959107806686,0.018749988805970202,1.065497846088335
Rodelo,Rodelo_9_puntos_intento_2,553.2294613161946,3.492794705320188,74.25326903794706,11.50824321720392,0.061935956331877706,0.019505091703056785,1.071498145027436
