Video,Frame,Timestamp_s,Face_Detected,ROI_Valid,Iris_Center_X_Original,Iris_Center_Y_Original,Iris_Left_X_Original,Iris_Left_Y_Original,Iris_Right_X_Original,Iris_Right_Y_Original,Iris_Center_X_ROI,Iris_Center_Y_ROI,Iris_Left_X_ROI,Iris_Left_Y_ROI,Iris_Right_X_ROI,Iris_Right_Y_ROI,Iris_Diameter_px_ROI,Video_FPS
Data_Victor_1.avi,227,7.5667,True,True,613,244,622,245,604,244,200,126,251,132,148,126,103,30.0
Data_Victor_1.avi,228,7.6,True,True,613,245,622,246,604,244,200,129,251,135,148,123,103,30.0
Data_Victor_1.avi,229,7.6333,True,True,613,245,622,246,605,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,230,7.6667,True,True,613,245,622,246,605,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,231,7.7,True,True,613,245,622,246,605,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,232,7.7333,True,True,613,245,622,246,605,244,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,233,7.7667,True,True,613,245,622,246,605,244,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,234,7.8,True,True,613,245,622,246,605,245,197,126,249,132,150,126,99,30.0
Data_Victor_1.avi,235,7.8333,True,True,613,245,622,246,605,245,200,122,251,128,154,122,97,30.0
Data_Victor_1.avi,236,7.8667,True,True,613,245,622,246,604,245,200,120,251,126,148,120,103,30.0
Data_Victor_1.avi,237,7.9,True,True,613,245,622,246,604,245,197,123,249,129,144,123,105,30.0
Data_Victor_1.avi,238,7.9333,True,True,613,246,622,247,605,245,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,239,7.9667,True,True,613,246,622,247,605,245,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,240,8.0,True,True,613,246,622,247,605,245,197,132,249,138,150,126,99,30.0
Data_Victor_1.avi,241,8.0333,True,True,614,245,623,246,605,245,202,123,255,129,150,123,105,30.0
Data_Victor_1.avi,242,8.0667,True,True,614,246,623,247,605,245,202,129,255,135,150,123,105,30.0
Data_Victor_1.avi,243,8.1,True,True,615,246,624,247,606,245,202,129,255,135,150,123,105,30.0
Data_Victor_1.avi,244,8.1333,True,True,617,246,626,247,608,245,211,129,262,135,160,123,102,30.0
