video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,145,4833.333,True,345.000,202.000,0.000,449.000,195.000,0.372342,-0.076565,0.924932,47.529,94.793,1.768
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,146,4866.667,True,345.000,202.000,0.000,448.000,195.000,0.368132,-0.076695,0.926605,49.602,96.173,179.958
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,147,4900.000,True,345.000,202.000,0.000,448.000,195.000,0.368132,-0.076695,0.926605,47.776,98.101,179.602
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,148,4933.333,True,345.000,202.000,0.000,448.000,195.000,0.368132,-0.076695,0.926605,49.387,94.506,179.837
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,149,4966.667,True,345.000,202.000,0.000,448.000,195.000,0.368132,-0.076695,0.926605,47.461,94.271,0.128
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,150,5000.000,True,345.000,202.000,0.000,447.000,194.000,0.363860,-0.073015,0.928587,48.234,99.181,0.267
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,151,5033.333,True,345.000,202.000,0.000,448.000,194.000,0.368058,-0.072884,0.926942,47.676,97.212,0.022
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,152,5066.667,True,345.000,202.000,0.000,447.000,194.000,0.363860,-0.073015,0.928587,47.493,96.502,179.741
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,153,5100.000,True,345.000,202.000,0.000,444.000,190.000,0.351086,-0.058192,0.934533,44.422,65.820,178.415
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,154,5133.333,True,345.000,202.000,0.000,432.000,182.000,0.301639,-0.029448,0.952967,60.164,90.192,179.500
