Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
6.700000,201,0.245578,0.244280,-0.002269,-0.001347,False
6.733333,202,0.238917,0.241165,-0.003116,-0.000847,False
6.766667,203,0.240695,0.242045,0.000881,0.003996,False
6.800000,204,0.244327,0.244175,0.002129,0.001249,False
6.833333,205,0.249485,0.246974,0.002799,0.000670,False
6.866667,206,0.246653,0.246936,-0.000038,-0.002838,False
6.900000,207,0.244629,0.245005,-0.001931,-0.001893,False
6.933333,208,0.241981,0.241863,-0.003142,-0.001211,False
6.966667,209,0.241568,0.242133,0.000270,0.003412,False
7.000000,210,0.241805,0.244162,0.002029,0.001759,False
7.033333,211,0.249165,0.246184,0.002022,-0.000008,False
7.066667,212,0.248483,0.247584,0.001400,-0.000622,False
7.100000,213,0.245874,0.247744,0.000160,-0.001240,False
7.133333,214,0.247186,0.246802,-0.000942,-0.001102,False
7.166667,215,0.247092,0.247403,0.000601,0.001543,False
7.200000,216,0.248837,0.248564,0.001161,0.000560,False
7.233333,217,0.249446,0.249279,0.000714,-0.000447,False
7.266667,218,0.249657,0.250090,0.000812,0.000097,False
7.300000,219,0.250009,0.249644,-0.000446,-0.001258,False
7.333333,220,0.249583,0.248694,-0.000950,-0.000504,False
7.366667,221,0.246753,0.247809,-0.000885,0.000065,False
7.400000,222,0.246952,0.247198,-0.000611,0.000274,False
7.433333,223,0.248010,0.248039,0.000842,0.001452,False
7.466667,224,0.248620,0.248819,0.000780,-0.000062,False
7.500000,225,0.250339,0.250404,0.001584,0.000805,False
7.533333,226,0.246392,0.248093,-0.002310,-0.003894,False
7.566667,227,0.245877,0.239542,-0.008551,-0.006241,False
7.600000,228,0.225862,0.225610,-0.013932,-0.005381,False
7.633333,229,0.209751,0.213226,-0.012384,0.001548,False
7.666667,230,0.203654,0.207725,-0.005501,0.006883,False
7.700000,231,0.213226,0.212746,0.005021,0.010523,False
7.733333,232,0.226067,0.222917,0.010171,0.005150,False
7.766667,233,0.232626,0.232976,0.010059,-0.000113,False
7.800000,234,0.239324,0.239523,0.006546,-0.003512,False
7.833333,235,0.242875,0.242237,0.002715,-0.003832,False
7.866667,236,0.244615,0.243408,0.001171,-0.001544,False
7.900000,237,0.241950,0.244477,0.001069,-0.000102,False
7.933333,238,0.244187,0.244165,-0.000312,-0.001381,False
7.966667,239,0.247482,0.244498,0.000333,0.000645,False
8.000000,240,0.242435,0.245968,0.001470,0.001136,False
8.033333,241,0.246919,0.246047,0.000079,-0.001391,False
8.066667,242,0.247510,0.245347,-0.000699,-0.000778,False
8.100000,243,0.244657,0.246425,0.001077,0.001777,False
8.133333,244,0.244583,0.246167,-0.000258,-0.001335,False
8.166667,245,0.247912,0.245301,-0.000865,-0.000608,False
8.200000,246,0.244929,0.244239,-0.001062,-0.000197,False
8.233333,247,0.240734,0.242368,-0.001871,-0.000808,False
