Frame,Tiempo(s),EAR_Original,EAR_Mejorado,Diferencia
318,10.60,0.252566,0.193662,0.058904
319,10.63,0.259495,0.198783,0.060712
320,10.66,0.264255,0.202375,0.061880
321,10.70,0.270589,0.207009,0.063580
322,10.73,0.273037,0.208879,0.064158
323,10.76,0.275826,0.210920,0.064907
324,10.80,0.278715,0.213135,0.065581
325,10.83,0.280612,0.214515,0.066097
326,10.86,0.282366,0.215809,0.066557
327,10.90,0.284950,0.217746,0.067204
328,10.93,0.284504,0.217441,0.067063
329,10.96,0.285794,0.218365,0.067429
330,11.00,0.289822,0.221414,0.068408
331,11.03,0.292389,0.223371,0.069018
332,11.06,0.291734,0.222928,0.068807
333,11.10,0.291954,0.223109,0.068845
334,11.13,0.290627,0.222187,0.068440
335,11.16,0.290284,0.221856,0.068427
336,11.20,0.290318,0.221883,0.068435
337,11.23,0.294463,0.224986,0.069478
338,11.26,0.295992,0.226055,0.069937
339,11.30,0.295392,0.225581,0.069812
340,11.33,0.296773,0.226607,0.070166
341,11.36,0.296141,0.226219,0.069923
342,11.40,0.295869,0.226024,0.069844
343,11.43,0.296333,0.226436,0.069897
344,11.46,0.296338,0.226358,0.069980
345,11.50,0.297276,0.227088,0.070188
346,11.53,0.296334,0.226331,0.070003
347,11.56,0.298655,0.228044,0.070612
348,11.60,0.299687,0.228828,0.070859
349,11.63,0.297870,0.227478,0.070392
350,11.66,0.297739,0.227392,0.070347
351,11.70,0.297390,0.227135,0.070255
352,11.73,0.296905,0.226709,0.070196
353,11.76,0.224658,0.173056,0.051602
354,11.80,0.060938,0.049614,0.011324
355,11.83,0.046650,0.038052,0.008598
356,11.86,0.040353,0.033612,0.006741
357,11.90,0.034840,0.029390,0.005450
358,11.93,0.031614,0.027593,0.004022
359,11.96,0.028593,0.025160,0.003433
360,12.00,0.031067,0.026168,0.004900
361,12.03,0.032879,0.027425,0.005454
362,12.06,0.029965,0.025310,0.004654
363,12.10,0.032957,0.027879,0.005077
364,12.13,0.036723,0.031219,0.005504
365,12.16,0.066540,0.054550,0.011991
366,12.20,0.149689,0.117364,0.032324
367,12.23,0.187176,0.144904,0.042272
368,12.26,0.213108,0.164170,0.048938
369,12.30,0.236372,0.181525,0.054847
370,12.33,0.255098,0.195424,0.059674
371,12.36,0.262027,0.200663,0.061365
372,12.40,0.267575,0.204778,0.062797
373,12.43,0.272391,0.208445,0.063946
374,12.46,0.274436,0.210007,0.064429
375,12.50,0.276645,0.211605,0.065041
376,12.53,0.274945,0.210344,0.064601
377,12.56,0.275945,0.211124,0.064822
378,12.60,0.277656,0.212396,0.065260
379,12.63,0.282356,0.215924,0.066432
380,12.66,0.283188,0.216491,0.066697
381,12.70,0.286048,0.218638,0.067410
382,12.73,0.288420,0.220451,0.067968
383,12.76,0.292951,0.223824,0.069127
384,12.80,0.296122,0.226211,0.069911
385,12.83,0.296278,0.226267,0.070011
386,12.86,0.297182,0.226990,0.070192
387,12.90,0.297495,0.227245,0.070250
388,12.93,0.299712,0.228855,0.070857
389,12.96,0.298609,0.228023,0.070587
390,13.00,0.301601,0.230362,0.071239
391,13.03,0.297015,0.226937,0.070078
392,13.06,0.298718,0.228175,0.070542
393,13.10,0.298824,0.228262,0.070562
394,13.13,0.298662,0.228155,0.070507
395,13.16,0.298137,0.227705,0.070431
396,13.20,0.296917,0.226747,0.070169
397,13.23,0.300423,0.229400,0.071023
398,13.26,0.301805,0.230434,0.071371
399,13.30,0.298476,0.227999,0.070476
400,13.33,0.295728,0.225910,0.069818
401,13.36,0.282253,0.215849,0.066404
402,13.40,0.150263,0.117598,0.032664
403,13.43,0.048838,0.040410,0.008428
404,13.46,0.033959,0.029478,0.004481
405,13.50,0.036018,0.031208,0.004810
406,13.53,0.028283,0.025721,0.002562
407,13.56,0.023038,0.021617,0.001421
408,13.60,0.021229,0.020123,0.001105
409,13.63,0.020922,0.020013,0.000908
410,13.66,0.022672,0.021340,0.001332
411,13.70,0.023776,0.022380,0.001396
412,13.73,0.019090,0.019368,0.000278
413,13.76,0.025250,0.023654,0.001596
414,13.80,0.033256,0.029814,0.003442
415,13.83,0.038127,0.033740,0.004387
