video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_1_ROI_640x480.mp4,121,4033.333,True,301.000,214.000,0.000,493.000,138.000,474,93,0.768000,0.304000,-0.563702,63.592,101.078,154.889,4891.0
roygel_intento_1_ROI_640x480.mp4,122,4066.667,True,301.000,214.000,0.000,481.000,132.000,476,93,0.720000,0.328000,-0.611568,62.729,102.005,154.917,4824.0
roygel_intento_1_ROI_640x480.mp4,123,4100.000,True,302.000,214.000,0.000,483.000,131.000,478,93,0.724000,0.332000,-0.604649,61.561,100.368,155.945,4781.0
roygel_intento_1_ROI_640x480.mp4,124,4133.333,True,302.000,214.000,0.000,486.000,131.000,481,94,0.736000,0.332000,-0.589983,61.663,101.358,157.438,4777.0
roygel_intento_1_ROI_640x480.mp4,125,4166.667,True,302.000,214.000,0.000,489.000,131.000,484,95,0.748000,0.332000,-0.574693,60.919,102.203,156.331,4740.5
roygel_intento_1_ROI_640x480.mp4,126,4200.000,True,302.000,214.000,0.000,491.000,131.000,485,94,0.756000,0.332000,-0.564128,60.105,102.303,156.399,4711.5
roygel_intento_1_ROI_640x480.mp4,127,4233.333,True,302.000,214.000,0.000,493.000,131.000,487,97,0.764000,0.332000,-0.553245,59.215,102.967,156.478,4661.5
roygel_intento_1_ROI_640x480.mp4,128,4266.667,True,302.000,214.000,0.000,495.000,132.000,489,98,0.772000,0.328000,-0.544456,59.555,101.800,157.287,4614.5
roygel_intento_1_ROI_640x480.mp4,129,4300.000,True,302.000,213.000,0.000,498.000,133.000,491,99,0.784000,0.320000,-0.531925,57.842,102.277,156.600,4550.0
roygel_intento_1_ROI_640x480.mp4,130,4333.333,True,302.000,213.000,0.000,500.000,134.000,492,102,0.792000,0.316000,-0.522379,58.644,101.857,156.835,4590.0
